Log Month,Total kWh,Peak Time,Peak kW,Power Factor
01/31/25,11571755,45687.81249,-4010,1
12/31/24,10196587,45632.78124,-7885,0.98
11/30/24,8197558,45611.48957,-3731,0.98
10/31/24,6657767,45594.70832,-5551,0.99
09/30/24,5303299,45547.64582,-3297,0.99
08/31/24,4437954,45535.81249,-2533,0.97
07/31/24,3576158,45497.79166,-2481,0.97
06/30/24,2613190,45445.79166,-2284,0.96
05/31/24,1787634,45418.80207,-3004,0.99
04/30/24,619483,45407.69791,-3935,1
04/30/24,18509880,45401.80207,-3322,0.99
03/31/24,17117815,45378.44791,-4114,1
02/29/24,15597574,45325.80207,-4457,1
01/31/24,13749636,45322.80207,-4078,1
12/31/23,12419435,45286.68749,-4518,0.99
11/30/23,11817136,45259.78124,-2926,0.99
10/31/23,10649637,45209.79166,-3889,1
09/30/23,9281153,45191.44791,-2895,1
08/31/23,8233563,45147.83332,-4801,1
07/31/23,6658376,45138.81249,-2560,0.95
06/30/23,6283332,45107.81249,-775,0.98
05/31/23,6087147,45051.83332,-1150,0.99
04/30/23,5862361,45017.36457,-4244,1
03/31/23,5469789,45016.81249,-3826,0.99
02/28/23,4914310,44962.43749,-4147,0.99
01/31/23,4523413,44957.79166,-939,0.98
